created_at,peer_id,step,question_raw,question_norm,cluster_key,count,last_seen_at
2026-02-22T21:26:22+02:00,535194431,screening_wait,"Як виплачується зарплатня, та чи офіційне працевлаштування",як виплачується зарплатня та чи офіційне працевлаштування,як виплачується зарплатня та чи офіційне працевлаштування,1,2026-02-22T21:26:22+02:00
2026-02-23T10:01:34+02:00,156414561,schedule_confirm,а скільки триває практика?,а скільки триває практика,а скільки триває практика,1,2026-02-23T10:01:34+02:00
2026-02-23T10:54:23+02:00,156414561,schedule_shift_wait,а яка вигідніша?,а яка вигідніша,а яка вигідніша,1,2026-02-23T10:54:23+02:00
2026-02-24T10:08:05+02:00,991841060,voice_wait,Графики работы ?,графики работы,графики работы,1,2026-02-24T10:08:05+02:00
2026-02-24T10:11:02+02:00,991841060,voice_wait,Если работа может прерваться из-за отключения электричества - то повлияет ли это негативно на мою репутацию? И есть ли какой-либо выход?,если работа может прерваться изза отключения электричества  то повлияет ли это негативно на мою репутацию и есть ли какойлибо выход,если работа может прерваться изза отключения электричества  то повлияет ли это негативно на мою репутацию и есть ли какойлибо выход,1,2026-02-24T10:11:02+02:00
2026-02-24T11:09:09+02:00,5659837340,voice_wait,"Графік на постійній основі, чи можливо міняти?",графік на постійній основі чи можливо міняти,графік на постійній основі чи можливо міняти,1,2026-02-24T11:09:09+02:00
2026-02-24T11:14:11+02:00,5659837340,voice_wait,Можемо продовжити через годину?,можемо продовжити через годину,можемо продовжити через годину,1,2026-02-24T11:14:11+02:00
2026-02-24T12:33:50+02:00,1841225715,schedule_shift_wait,А потім можно вибрати другий графік,а потім можно вибрати другий графік,а потім можно вибрати другий графік,1,2026-02-24T12:33:50+02:00
2026-02-24T12:48:18+02:00,1841225715,schedule_confirm,Після стажу ви сказали что що буде нараховано заробітну плату . На карту або як ?,після стажу ви сказали что що буде нараховано заробітну плату  на карту або як,після стажу ви сказали что що буде нараховано заробітну плату  на карту або як,1,2026-02-24T12:48:18+02:00
2026-02-24T13:03:44+02:00,977462789,company_intro,Чи потрібно для роботи якісь мої документи?,чи потрібно для роботи якісь мої документи,чи потрібно для роботи якісь мої документи,1,2026-02-24T13:03:44+02:00
2026-02-24T13:21:54+02:00,156414561,company_intro,це безкоштовно?,це безкоштовно,це безкоштовно,2,2026-02-24T13:21:54+02:00
2026-02-24T13:22:30+02:00,156414561,company_intro,на які теми спілкування?,на які теми спілкування,на які теми спілкування,2,2026-02-24T13:22:30+02:00
2026-02-24T13:41:01+02:00,156414561,company_intro,щось качать потрібно?,щось качать потрібно,щось качать потрібно,1,2026-02-24T13:41:01+02:00
2026-02-24T13:42:01+02:00,156414561,voice_wait,а вихідні коли можна брать?,а вихідні коли можна брать,а вихідні коли можна брать,1,2026-02-24T13:42:01+02:00
2026-02-24T13:42:48+02:00,156414561,schedule_shift_wait,"незнаю, а коли більше заробити можна?",незнаю а коли більше заробити можна,незнаю а коли більше заробити можна,1,2026-02-24T13:42:48+02:00
2026-02-24T14:05:24+02:00,5806893954,company_intro,"Ні, повна зайнятість не цікавить, перепрошую",ні повна зайнятість не цікавить перепрошую,ні повна зайнятість не цікавить перепрошую,1,2026-02-24T14:05:24+02:00
2026-02-24T14:16:24+02:00,822835500,test_review,Чи потрібен вам мій скрін паспорту для роботи?,чи потрібен вам мій скрін паспорту для роботи,чи потрібен вам мій скрін паспорту для роботи,1,2026-02-24T14:16:24+02:00
2026-02-24T14:17:25+02:00,1044952620,schedule_shift_wait,А меньше годин не має?,а меньше годин не має,а меньше годин не має,1,2026-02-24T14:17:25+02:00
2026-02-24T17:52:33+02:00,156414561,voice_wait,Це платно?,це платно,це платно,1,2026-02-24T17:52:33+02:00
2026-02-24T17:53:23+02:00,156414561,voice_wait,А чкільки в середньому я зможу заробити?,а чкільки в середньому я зможу заробити,а чкільки в середньому я зможу заробити,1,2026-02-24T17:53:23+02:00
2026-02-24T18:05:34+02:00,156414561,voice_wait,Скільки часу потрібно вчитися?,скільки часу потрібно вчитися,скільки часу потрібно вчитися,1,2026-02-24T18:05:34+02:00
2026-02-24T18:05:52+02:00,156414561,voice_wait,чи потрібен пк або ноутбук?,чи потрібен пк або ноутбук,чи потрібен пк або ноутбук,1,2026-02-24T18:05:52+02:00
2026-02-24T20:46:58+02:00,5169697813,schedule_confirm,"Скажіть будь ласке,де гарантія що це не кидалово",скажіть будь ласкеде гарантія що це не кидалово,скажіть будь ласкеде гарантія що це не кидалово,1,2026-02-24T20:46:58+02:00
2026-02-25T09:52:28+02:00,962085724,voice_wait,"правильно понимаю, это платный сайт знакомств?",правильно понимаю это платный сайт знакомств,правильно понимаю это платный сайт знакомств,1,2026-02-25T09:52:28+02:00
2026-02-25T09:54:16+02:00,962085724,voice_wait,"то есть, мужчина должен приобрести пакет услуг, чтоб иметь возможность полноценно пользоваться сайтом? сколько от этого получает сотрудник?",то есть мужчина должен приобрести пакет услуг чтоб иметь возможность полноценно пользоваться сайтом сколько от этого получает сотрудник,то есть мужчина должен приобрести пакет услуг чтоб иметь возможность полноценно пользоваться сайтом сколько от этого получает сотрудник,1,2026-02-25T09:54:16+02:00
2026-02-25T09:55:42+02:00,962085724,voice_wait,"мне интересна не общая сумма, а количественный эквивалент)",мне интересна не общая сумма а количественный эквивалент,мне интересна не общая сумма а количественный эквивалент,1,2026-02-25T09:55:42+02:00
2026-02-25T10:02:36+02:00,962085724,voice_wait,я могу график менять или должна всегда в одну смену выходить?,я могу график менять или должна всегда в одну смену выходить,я могу график менять или должна всегда в одну смену выходить,1,2026-02-25T10:02:36+02:00
2026-02-25T11:26:26+02:00,156414561,schedule_confirm,які теми для спілкування,які теми для спілкування,які теми для спілкування,1,2026-02-25T11:26:26+02:00
2026-02-25T12:00:18+02:00,156414561,schedule_confirm,які теми листування? це 18+?,які теми листування це 18,які теми листування це 18,1,2026-02-25T12:00:18+02:00
2026-02-25T12:02:41+02:00,156414561,balance_confirm,від чого росте баланс?,від чого росте баланс,від чого росте баланс,1,2026-02-25T12:02:41+02:00
2026-02-25T12:03:24+02:00,156414561,balance_confirm,а конкретніше? скілько коштують листи?,а конкретніше скілько коштують листи,а конкретніше скілько коштують листи,1,2026-02-25T12:03:24+02:00
2026-02-25T12:21:40+02:00,2059822582,screening_wait,Що за робота?,що за робота,що за робота,1,2026-02-25T12:21:40+02:00
2026-02-25T12:22:35+02:00,2059822582,company_intro,Це робота з контекстом 18+?,це робота з контекстом 18,це робота з контекстом 18,1,2026-02-25T12:22:35+02:00
2026-02-25T13:21:56+02:00,156414561,schedule_confirm,а про що саілкуватися з напарниками?,а про що саілкуватися з напарниками,а про що саілкуватися з напарниками,1,2026-02-25T13:21:56+02:00
2026-02-25T13:23:33+02:00,156414561,balance_confirm,скільки коштує кожна дія?,скільки коштує кожна дія,скільки коштує кожна дія,1,2026-02-25T13:23:33+02:00
2026-02-25T13:24:45+02:00,156414561,test_review,що потрібно від мене?,що потрібно від мене,що потрібно від мене,1,2026-02-25T13:24:45+02:00
2026-02-25T13:25:21+02:00,156414561,test_review,скільки триває навчання?,скільки триває навчання,скільки триває навчання,1,2026-02-25T13:25:21+02:00
2026-02-25T13:35:20+02:00,156414561,test_review,коли я зможу почати?,коли я зможу почати,коли я зможу почати,1,2026-02-25T13:35:20+02:00
2026-02-25T14:04:54+02:00,1987741825,schedule_shift_wait,виплата раз в місяць?,виплата раз в місяць,виплата раз в місяць,1,2026-02-25T14:04:54+02:00
2026-02-26T12:21:16+02:00,6543410599,voice_wait,Що таке інвайт?,що таке інвайт,що таке інвайт,1,2026-02-26T12:21:16+02:00
2026-02-26T12:28:07+02:00,507408338,voice_wait,"я вже працювала в такому форматі, так що я знаю що це таке",я вже працювала в такому форматі так що я знаю що це таке,я вже працювала в такому форматі так що я знаю що це таке,1,2026-02-26T12:28:07+02:00
2026-02-26T12:29:38+02:00,507408338,schedule_confirm,"так, а зп один раз на місяць ?",так а зп один раз на місяць,так а зп один раз на місяць,1,2026-02-26T12:29:38+02:00
2026-02-26T12:30:28+02:00,507408338,schedule_confirm,"все зрозуміло, аванс я можу просити ?",все зрозуміло аванс я можу просити,все зрозуміло аванс я можу просити,1,2026-02-26T12:30:28+02:00
2026-02-26T14:34:10+02:00,1942619894,schedule_shift_wait,Вам моделі потрібні ?,вам моделі потрібні,вам моделі потрібні,1,2026-02-26T14:34:10+02:00
2026-02-26T16:52:54+02:00,682760866,schedule_shift_wait,Що таке повна зайнятість?,що таке повна зайнятість,що таке повна зайнятість,1,2026-02-26T16:52:54+02:00
2026-02-26T19:14:54+02:00,1293751724,form_forward,"Дякую) Перед наданням документів прошу надати юридичну інформацію компанії (реєстраційні дані, ФОП/ТОВ, договір для ознайомлення). Після цього зможу надати дані для оформлення. Я не маю довіри надавати свої документи туди де немає трудового договору",дякую перед наданням документів прошу надати юридичну інформацію компанії реєстраційні дані фоптов договір для ознайомлення після цього зможу надати дані для оформлення я не маю довіри надавати свої документи туди де немає трудового договору,дякую перед наданням документів прошу надати юридичну інформацію компанії реєстраційні дані фоптов договір для ознайомлення після цього зможу надати дані для оф,1,2026-02-26T19:14:54+02:00
2026-02-26T19:17:08+02:00,1293751724,form_forward,"Дякую, я вас зрозуміла, нажаль я також не можу надати свої документи для верифікації не зрозуміло де",дякую я вас зрозуміла нажаль я також не можу надати свої документи для верифікації не зрозуміло де,дякую я вас зрозуміла нажаль я також не можу надати свої документи для верифікації не зрозуміло де,1,2026-02-26T19:17:08+02:00
2026-02-27T09:36:07+02:00,462983066,voice_wait,Скільки і як проходе стажування ? Як виплачується зп ?,скільки і як проходе стажування  як виплачується зп,скільки і як проходе стажування  як виплачується зп,1,2026-02-27T09:36:07+02:00
2026-02-27T09:40:46+02:00,5062104877,company_intro,Це ж онлайн?,це ж онлайн,це ж онлайн,1,2026-02-27T09:40:46+02:00
2026-02-27T09:42:37+02:00,5062104877,voice_wait,400 дол в місяць?,400 дол в місяць,400 дол в місяць,1,2026-02-27T09:42:37+02:00
2026-02-27T09:44:34+02:00,612648654,screening_wait,"Доброе утро. Представление имею. Менеджер чата, человек, который ведет переписки с мужчинами от лица девушки, верно?",доброе утро представление имею менеджер чата человек который ведет переписки с мужчинами от лица девушки верно,доброе утро представление имею менеджер чата человек который ведет переписки с мужчинами от лица девушки верно,1,2026-02-27T09:44:34+02:00
2026-02-27T10:14:38+02:00,474182313,voice_wait,"Дякую, не цікавить, видавати себе за дівчину",дякую не цікавить видавати себе за дівчину,дякую не цікавить видавати себе за дівчину,1,2026-02-27T10:14:38+02:00
2026-03-31T15:22:13+03:00,1657560058,objection_gate,Що потрібно робити ?,що потрібно робити,що потрібно робити,5,2026-03-31T15:22:13+03:00
2026-02-27T10:38:47+02:00,975295806,company_intro,а які саме переписки ?,а які саме переписки,а які саме переписки,1,2026-02-27T10:38:47+02:00
2026-02-27T10:40:03+02:00,8350637366,schedule_confirm,"Понятно про процесс работы. Не понятно про напарников:Працювати потрібно у парі з напарниками — 8 годин у своїй зміні, та 2 напарника — у своїй. Как это ? Я отработал , а потом еще с ними или как?",понятно про процесс работы не понятно про напарниковпрацювати потрібно у парі з напарниками  8 годин у своїй зміні та 2 напарника  у своїй как это  я отработал  а потом еще с ними или как,понятно про процесс работы не понятно про напарниковпрацювати потрібно у парі з напарниками  8 годин у своїй зміні та 2 напарника  у своїй как это  я отработал ,1,2026-02-27T10:40:03+02:00
2026-02-27T10:41:34+02:00,8350637366,schedule_confirm,"Понял. Я подумал что надо самому отработать , потом еще сними",понял я подумал что надо самому отработать  потом еще сними,понял я подумал что надо самому отработать  потом еще сними,1,2026-02-27T10:41:34+02:00
2026-02-27T10:43:47+02:00,585589297,company_intro,Я так понимаю через телефон нельзя работать. ?,я так понимаю через телефон нельзя работать,я так понимаю через телефон нельзя работать,1,2026-02-27T10:43:47+02:00
2026-02-27T10:44:22+02:00,5062104877,balance_confirm,По табличкам ще не зрозуміла 😅,по табличкам ще не зрозуміла,по табличкам ще не зрозуміла,1,2026-02-27T10:44:22+02:00
2026-02-27T10:44:43+02:00,1107314852,schedule_shift_wait,ранкових змін немає?,ранкових змін немає,ранкових змін немає,1,2026-02-27T10:44:43+02:00
2026-02-27T10:46:37+02:00,424869184,company_intro,Це не сайт знайомств?,це не сайт знайомств,це не сайт знайомств,1,2026-02-27T10:46:37+02:00
2026-02-27T10:48:02+02:00,424869184,company_intro,Мені потрібно буде спілкуватися тільки з чоловіками?,мені потрібно буде спілкуватися тільки з чоловіками,мені потрібно буде спілкуватися тільки з чоловіками,1,2026-02-27T10:48:02+02:00
2026-02-27T10:49:07+02:00,424869184,company_intro,Як спілкування буде проходити?на які теми?,як спілкування буде проходитина які теми,як спілкування буде проходитина які теми,1,2026-02-27T10:49:07+02:00
2026-02-27T10:49:28+02:00,5062104877,schedule_confirm,А 2/2 немає?,а 22 немає,а 22 немає,1,2026-02-27T10:49:28+02:00
2026-02-27T10:50:24+02:00,623395316,schedule_shift_wait,В чем суть работы,в чем суть работы,в чем суть работы,1,2026-02-27T10:50:24+02:00
2026-02-27T10:56:26+02:00,8425909266,voice_wait,Чи є ставка?,чи є ставка,чи є ставка,1,2026-02-27T10:56:26+02:00
2026-02-27T10:58:02+02:00,1723037815,company_intro,"Чи є можливість часткової зайнятості, 4-5 годин?",чи є можливість часткової зайнятості 45 годин,чи є можливість часткової зайнятості 45 годин,1,2026-02-27T10:58:02+02:00
2026-02-27T11:11:56+02:00,1304577268,schedule_confirm,Які мої обов'язки та вимоги по роботі?,які мої обовязки та вимоги по роботі,які мої обовязки та вимоги по роботі,1,2026-02-27T11:11:56+02:00
2026-02-27T11:16:42+02:00,1304577268,balance_confirm,"Ні, роз'ясніть будь ласка",ні розясніть будь ласка,ні розясніть будь ласка,1,2026-02-27T11:16:42+02:00
2026-02-27T12:09:09+02:00,1065793980,balance_confirm,не дуже,не дуже,не дуже,2,2026-02-27T12:09:09+02:00
2026-02-27T12:13:41+02:00,491363390,schedule_confirm,"Які ідеї є щодо того, що саме запропонувати клієнту до теми розмови? Чи це треба покласти на себе?",які ідеї є щодо того що саме запропонувати клієнту до теми розмови чи це треба покласти на себе,які ідеї є щодо того що саме запропонувати клієнту до теми розмови чи це треба покласти на себе,1,2026-02-27T12:13:41+02:00
2026-02-27T12:33:10+02:00,7420224546,screening_wait,"Ні, не мав. Але в своїй сфері роботи мені доводилося багато спілкуватися з людьми. Як телефоном так і переписуючись з ними.",ні не мав але в своїй сфері роботи мені доводилося багато спілкуватися з людьми як телефоном так і переписуючись з ними,ні не мав але в своїй сфері роботи мені доводилося багато спілкуватися з людьми як телефоном так і переписуючись з ними,1,2026-02-27T12:33:10+02:00
2026-02-27T12:56:00+02:00,611044721,company_intro,У вас повна зайнятість?,у вас повна зайнятість,у вас повна зайнятість,1,2026-02-27T12:56:00+02:00
2026-02-27T13:06:45+02:00,5077005819,schedule_shift_wait,"Можливо, денна
Скажіть, будь ласка, чи є якась ставка чи просто відсотки від роботи...бо не хотілося б знову відпрацювати місяць за 200 грн",можливо денна скажіть будь ласка чи є якась ставка чи просто відсотки від роботибо не хотілося б знову відпрацювати місяць за 200 грн,можливо денна скажіть будь ласка чи є якась ставка чи просто відсотки від роботибо не хотілося б знову відпрацювати місяць за 200 грн,1,2026-02-27T13:06:45+02:00
2026-02-27T14:00:15+02:00,1811957873,test_review,Це онлайн?,це онлайн,це онлайн,1,2026-02-27T14:00:15+02:00
2026-02-27T14:01:37+02:00,1811957873,form_forward,Який документ,який документ,який документ,1,2026-02-27T14:01:37+02:00
2026-02-27T15:06:53+02:00,5541926910,schedule_confirm,"Так мені все зрозуміло 
Але не підходить тому що багато часу треба приділяти в мене його стільки немає на даний момент.
Дякую вибачте що потурбував.",так мені все зрозуміло але не підходить тому що багато часу треба приділяти в мене його стільки немає на даний момент дякую вибачте що потурбував,так мені все зрозуміло але не підходить тому що багато часу треба приділяти в мене його стільки немає на даний момент дякую вибачте що потурбував,1,2026-02-27T15:06:53+02:00
2026-02-27T15:20:19+02:00,227061896,schedule_confirm,Як проходидитиме стажування?,як проходидитиме стажування,як проходидитиме стажування,1,2026-02-27T15:20:19+02:00
2026-02-27T15:21:29+02:00,227061896,schedule_confirm,Яким чином відбувається спілкування з тімлідом і напарниками?,яким чином відбувається спілкування з тімлідом і напарниками,яким чином відбувається спілкування з тімлідом і напарниками,1,2026-02-27T15:21:29+02:00
2026-02-27T15:22:57+02:00,227061896,schedule_confirm,Скільки часу займає стажування ?,скільки часу займає стажування,скільки часу займає стажування,1,2026-02-27T15:22:57+02:00
2026-02-27T15:23:29+02:00,227061896,schedule_confirm,Як довго стажуватись?,як довго стажуватись,як довго стажуватись,1,2026-02-27T15:23:29+02:00
2026-02-27T15:24:54+02:00,227061896,schedule_confirm,Як часто виплати?,як часто виплати,як часто виплати,1,2026-02-27T15:24:54+02:00
2026-02-27T15:42:40+02:00,418893198,voice_wait,Що таке інвайти?,що таке інвайти,що таке інвайти,1,2026-02-27T15:42:40+02:00
2026-02-27T17:27:57+02:00,5957162718,company_intro,Випадково сайт не Альфа?,випадково сайт не альфа,випадково сайт не альфа,1,2026-02-27T17:27:57+02:00
2026-02-27T17:28:45+02:00,1059493072,screening_wait,В якій атмосфері?,в якій атмосфері,в якій атмосфері,1,2026-02-27T17:28:45+02:00
2026-02-27T17:30:04+02:00,1059493072,screening_wait,"Чоловіки на сайт приходять не знайомитися чи спілкуватися тим паче за гроші їм уе не цікаво.
Дякую мене не цікавить",чоловіки на сайт приходять не знайомитися чи спілкуватися тим паче за гроші їм уе не цікаво дякую мене не цікавить,чоловіки на сайт приходять не знайомитися чи спілкуватися тим паче за гроші їм уе не цікаво дякую мене не цікавить,1,2026-02-27T17:30:04+02:00
2026-02-27T17:30:43+02:00,5957162718,voice_wait,Скільки буде даватись анкет?,скільки буде даватись анкет,скільки буде даватись анкет,1,2026-02-27T17:30:43+02:00
2026-02-27T17:31:00+02:00,5957162718,voice_wait,Одна чи декілька?,одна чи декілька,одна чи декілька,1,2026-02-27T17:31:00+02:00
2026-02-27T17:32:57+02:00,5957162718,schedule_shift_wait,І можна брати декілька вихідних підряд?,і можна брати декілька вихідних підряд,і можна брати декілька вихідних підряд,1,2026-02-27T17:32:57+02:00
2026-02-27T17:34:39+02:00,5957162718,schedule_confirm,Так я спитала сайт Альфа ви сказали що ні,так я спитала сайт альфа ви сказали що ні,так я спитала сайт альфа ви сказали що ні,1,2026-02-27T17:34:39+02:00
2026-02-27T21:08:52+02:00,961586590,voice_wait,Що саме мається на увазі листи та інвайти?,що саме мається на увазі листи та інвайти,що саме мається на увазі листи та інвайти,1,2026-02-27T21:08:52+02:00
2026-02-28T00:19:37+02:00,7848637066,balance_confirm,Поясніть доступно,поясніть доступно,поясніть доступно,1,2026-02-28T00:19:37+02:00
2026-02-28T00:22:09+02:00,7848637066,balance_confirm,"Не зрозуміло , з чого конкретно складається баланс",не зрозуміло  з чого конкретно складається баланс,не зрозуміло  з чого конкретно складається баланс,1,2026-02-28T00:22:09+02:00
2026-02-28T08:43:42+02:00,5072068041,test_review,Скільки коштує 1 відповідь?,скільки коштує 1 відповідь,скільки коштує 1 відповідь,1,2026-02-28T08:43:42+02:00
2026-02-28T08:44:34+02:00,5072068041,test_review,В 1й місяць на яку сумму я можу розраховувати?,в 1й місяць на яку сумму я можу розраховувати,в 1й місяць на яку сумму я можу розраховувати,1,2026-02-28T08:44:34+02:00
2026-02-28T08:45:29+02:00,5072068041,test_review,За звичайну відповідь скільки я отрумию?,за звичайну відповідь скільки я отрумию,за звичайну відповідь скільки я отрумию,1,2026-02-28T08:45:29+02:00
2026-02-28T10:52:26+02:00,702631049,schedule_confirm,"Так, все зрозуміло, чому виплата відбувається один раз на місяць?",так все зрозуміло чому виплата відбувається один раз на місяць,так все зрозуміло чому виплата відбувається один раз на місяць,1,2026-02-28T10:52:26+02:00
2026-02-28T10:53:39+02:00,702631049,schedule_confirm,"Я розумію, що можу спілкуватись і з телефону теж, вірно?",я розумію що можу спілкуватись і з телефону теж вірно,я розумію що можу спілкуватись і з телефону теж вірно,1,2026-02-28T10:53:39+02:00
2026-02-28T12:31:29+02:00,8476148374,handoff,І шо там,і шо там,і шо там,1,2026-02-28T12:31:29+02:00
2026-02-28T15:47:57+02:00,481710590,schedule_confirm,"Доброго дня 
Зарплата виплачується раз в місяць? Яким чином?",доброго дня зарплата виплачується раз в місяць яким чином,доброго дня зарплата виплачується раз в місяць яким чином,1,2026-02-28T15:47:57+02:00
2026-02-28T15:48:42+02:00,481710590,schedule_confirm,Куди виплачується маю на увазі?,куди виплачується маю на увазі,куди виплачується маю на увазі,1,2026-02-28T15:48:42+02:00
2026-02-28T15:49:45+02:00,481710590,schedule_confirm,"Добре, з рахунку як я можу виводити? На кріпту, карту?",добре з рахунку як я можу виводити на кріпту карту,добре з рахунку як я можу виводити на кріпту карту,1,2026-02-28T15:49:45+02:00
2026-02-28T17:40:40+02:00,968271071,schedule_confirm,"Добрий вечір!
Підкажіть будь ласка є графік щоб вранці працювати?",добрий вечір підкажіть будь ласка є графік щоб вранці працювати,добрий вечір підкажіть будь ласка є графік щоб вранці працювати,1,2026-02-28T17:40:40+02:00
2026-02-28T20:24:43+02:00,8571220654,company_intro,"Скажіть , будь ласка, чи буде потрібен мій паспорт?",скажіть  будь ласка чи буде потрібен мій паспорт,скажіть  будь ласка чи буде потрібен мій паспорт,1,2026-02-28T20:24:43+02:00
2026-02-28T20:41:04+02:00,8571220654,handoff,Ще раз хочу уточнить чи потрібно буде мені висилать документи?,ще раз хочу уточнить чи потрібно буде мені висилать документи,ще раз хочу уточнить чи потрібно буде мені висилать документи,1,2026-02-28T20:41:04+02:00
2026-02-28T22:30:43+02:00,1500924600,handoff,Скільки очікувати?,скільки очікувати,скільки очікувати,1,2026-02-28T22:30:43+02:00
2026-03-01T09:30:45+02:00,6454657641,voice_wait,"А якщо після стажування я відмовляюся працювати, то оплати не отримаю, так?",а якщо після стажування я відмовляюся працювати то оплати не отримаю так,а якщо після стажування я відмовляюся працювати то оплати не отримаю так,1,2026-03-01T09:30:45+02:00
2026-03-01T10:08:34+02:00,1564639238,schedule_shift_wait,А можна на кожен день різний?,а можна на кожен день різний,а можна на кожен день різний,1,2026-03-01T10:08:34+02:00
2026-03-01T11:09:33+02:00,1126494089,voice_wait,"Дякую. Підкажіть, будь ласка, як називається ваша платформа?",дякую підкажіть будь ласка як називається ваша платформа,дякую підкажіть будь ласка як називається ваша платформа,1,2026-03-01T11:09:33+02:00
2026-03-01T11:12:42+02:00,1126494089,voice_wait,"Дякую. Які умови для чаттера, %, розцінки?",дякую які умови для чаттера  розцінки,дякую які умови для чаттера  розцінки,1,2026-03-01T11:12:42+02:00
2026-03-01T14:06:26+02:00,933287450,schedule_confirm,А можна спробувати в телефоні,а можна спробувати в телефоні,а можна спробувати в телефоні,1,2026-03-01T14:06:26+02:00
2026-03-01T21:48:19+02:00,1435022174,company_intro,З телефону не можна працювати,з телефону не можна працювати,з телефону не можна працювати,1,2026-03-01T21:48:19+02:00
2026-03-02T07:06:36+02:00,1380903772,company_intro,Це сайт знайомств?,це сайт знайомств,це сайт знайомств,2,2026-03-02T07:06:36+02:00
2026-03-02T12:51:24+02:00,8383130231,company_intro,Це онлі фанс?,це онлі фанс,це онлі фанс,1,2026-03-02T12:51:24+02:00
2026-03-02T13:05:55+02:00,5511418466,schedule_shift_wait,Также важно знать как происходят выплаты.,также важно знать как происходят выплаты,также важно знать как происходят выплаты,1,2026-03-02T13:05:55+02:00
2026-03-02T13:06:52+02:00,5511418466,schedule_shift_wait,"На карту, или в отдельном сервисе?",на карту или в отдельном сервисе,на карту или в отдельном сервисе,1,2026-03-02T13:06:52+02:00
2026-03-02T16:07:17+02:00,962932443,voice_wait,Це голос Ші?,це голос ші,це голос ші,1,2026-03-02T16:07:17+02:00
2026-03-02T17:41:00+02:00,962932443,balance_confirm,Жовте це те що ти заробляєш правильно,жовте це те що ти заробляєш правильно,жовте це те що ти заробляєш правильно,1,2026-03-02T17:41:00+02:00
2026-03-02T18:47:46+02:00,7936365758,screening_wait,Чи можливо в текстовому форматі,чи можливо в текстовому форматі,чи можливо в текстовому форматі,2,2026-03-02T18:47:46+02:00
2026-03-02T19:45:34+02:00,367714276,balance_confirm,Виплата зп раз на місяць?,виплата зп раз на місяць,виплата зп раз на місяць,1,2026-03-02T19:45:34+02:00
2026-03-02T22:42:12+02:00,655493240,screening_wait,Що це за сфера?,що це за сфера,що це за сфера,1,2026-03-02T22:42:12+02:00
2026-03-03T01:00:32+02:00,5666471512,schedule_shift_wait,Я не встигла подивитися з котрої до котрої там,я не встигла подивитися з котрої до котрої там,я не встигла подивитися з котрої до котрої там,1,2026-03-03T01:00:32+02:00
2026-03-03T15:03:37+02:00,1225590543,schedule_confirm,Тобто це робота з чоловіками на сайті знайомств?,тобто це робота з чоловіками на сайті знайомств,тобто це робота з чоловіками на сайті знайомств,2,2026-03-03T15:03:37+02:00
2026-03-03T22:07:06+02:00,1093776547,schedule_confirm,На карту виплати надходять?,на карту виплати надходять,на карту виплати надходять,2,2026-03-03T22:07:06+02:00
